Results After 1000 Battles:		Battle Time: 2024-12-12 11:07:26

Battle 1: Attacker Dice: [6, 3], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 313: Attacker Dice: [6, 2], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 314: Attacker Dice: [6, 5], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 315: Attacker Dice: [4, 4], Defender Dice: [5, 3], Outcome: Draw
Battle 316: Attacker Dice: [5, 4], Defender Dice: [5, 3], Outcome: Draw
Battle 317: Attacker Dice: [6, 2], Defender Dice: [6, 1], Outcome: Draw
Battle 318: Attacker Dice: [6, 5], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 319: Attacker Dice: [6, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 320: Attacker Dice: [6, 2], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 321: Attacker Dice: [6, 6], Defender Dice: [5, 3], Outcome: Attacker Wins
Battle 322: Attacker Dice: [3, 2], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 323: Attacker Dice: [5, 3], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 324: Attacker Dice: [6, 5], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 325: Attacker Dice: [6, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 326: Attacker Dice: [2, 2], Defender Dice: [6, 1], Outcome: Draw
Battle 327: Attacker Dice: [6, 5], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 328: Attacker Dice: [6, 6], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 329: Attacker Dice: [6, 5], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 330: Attacker Dice: [4, 1], Defender Dice: [4, 2], Outcome: Defender Wins
Battle 331: Attacker Dice: [4, 4], Defender Dice: [4, 1], Outcome: Draw
Battle 332: Attacker Dice: [6, 3], Defender Dice: [3, 3], Outcome: Draw
Battle 333: Attacker Dice: [5, 3], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 334: Attacker Dice: [5, 4], Defender Dice: [5, 3], Outcome: Draw
Battle 335: Attacker Dice: [3, 2], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 336: Attacker Dice: [6, 3], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 337: Attacker Dice: [5, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 338: Attacker Dice: [3, 3], Defender Dice: [4, 3], Outcome: Defender Wins
Battle 339: Attacker Dice: [3, 3], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 340: Attacker Dice: [2, 1], Defender Dice: [3, 1], Outcome: Defender Wins
Battle 341: Attacker Dice: [3, 3], Defender Dice: [3, 2], Outcome: Draw
Battle 342: Attacker Dice: [6, 4], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 343: Attacker Dice: [6, 3], Defender Dice: [5, 3], Outcome: Draw
Battle 344: Attacker Dice: [6, 6], Defender Dice: [3, 3], Outcome: Attacker Wins
Battle 345: Attacker Dice: [5, 4], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 346: Attacker Dice: [6, 5], Defender Dice: [6, 1], Outcome: Draw
Battle 347: Attacker Dice: [5, 5], Defender Dice: [5, 1], Outcome: Draw
Battle 348: Attacker Dice: [6, 5], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 349: Attacker Dice: [5, 4], Defender Dice: [5, 1], Outcome: Draw
Battle 350: Attacker Dice: [6, 5], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 351: Attacker Dice: [4, 2], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 352: Attacker Dice: [6, 5], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 353: Attacker Dice: [6, 4], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 354: Attacker Dice: [5, 5], Defender Dice: [6, 2], Outcome: Draw
Battle 355: Attacker Dice: [6, 6], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 356: Attacker Dice: [5, 5], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 357: Attacker Dice: [6, 5], Defender Dice: [6, 2], Outcome: Draw
Battle 358: Attacker Dice: [6, 6], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 359: Attacker Dice: [6, 3], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 360: Attacker Dice: [6, 5], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 361: Attacker Dice: [6, 2], Defender Dice: [4, 2], Outcome: Draw
Battle 362: Attacker Dice: [4, 4], Defender Dice: [6, 1], Outcome: Draw
Battle 363: Attacker Dice: [4, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 364: Attacker Dice: [6, 4], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 365: Attacker Dice: [6, 2], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 366: Attacker Dice: [5, 3], Defender Dice: [3, 3], Outcome: Draw
Battle 367: Attacker Dice: [6, 3], Defender Dice: [6, 2], Outcome: Draw
Battle 368: Attacker Dice: [5, 4], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 369: Attacker Dice: [2, 2], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 370: Attacker Dice: [5, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 371: Attacker Dice: [5, 5], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 372: Attacker Dice: [5, 3], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 373: Attacker Dice: [6, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 374: Attacker Dice: [5, 5], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 375: Attacker Dice: [6, 5], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 376: Attacker Dice: [3, 2], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 377: Attacker Dice: [4, 4], Defender Dice: [4, 4], Outcome: Defender Wins
Battle 378: Attacker Dice: [6, 6], Defender Dice: [6, 1], Outcome: Draw
Battle 379: Attacker Dice: [3, 2], Defender Dice: [5, 1], Outcome: Draw
Battle 380: Attacker Dice: [6, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 381: Attacker Dice: [5, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 382: Attacker Dice: [6, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 383: Attacker Dice: [1, 1], Defender Dice: [3, 1], Outcome: Defender Wins
Battle 384: Attacker Dice: [3, 2], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 385: Attacker Dice: [6, 4], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 386: Attacker Dice: [6, 5], Defender Dice: [5, 5], Outcome: Draw
Battle 387: Attacker Dice: [6, 4], Defender Dice: [5, 4], Outcome: Draw
Battle 388: Attacker Dice: [4, 4], Defender Dice: [6, 2], Outcome: Draw
Battle 389: Attacker Dice: [6, 5], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 390: Attacker Dice: [6, 6], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 391: Attacker Dice: [2, 1], Defender Dice: [4, 4], Outcome: Defender Wins
Battle 392: Attacker Dice: [6, 3], Defender Dice: [6, 1], Outcome: Draw
Battle 393: Attacker Dice: [5, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 394: Attacker Dice: [6, 6], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 395: Attacker Dice: [5, 3], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 396: Attacker Dice: [4, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 397: Attacker Dice: [5, 5], Defender Dice: [5, 4], Outcome: Draw
Battle 398: Attacker Dice: [5, 4], Defender Dice: [6, 1], Outcome: Draw
Battle 399: Attacker Dice: [5, 4], Defender Dice: [5, 2], Outcome: Draw
Battle 400: Attacker Dice: [4, 3], Defender Dice: [5, 2], Outcome: Draw
Battle 401: Attacker Dice: [6, 6], Defender Dice: [5, 3], Outcome: Attacker Wins
Battle 402: Attacker Dice: [5, 3], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 403: Attacker Dice: [5, 4], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 404: Attacker Dice: [4, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 405: Attacker Dice: [5, 4], Defender Dice: [3, 3], Outcome: Attacker Wins
Battle 406: Attacker Dice: [6, 4], Defender Dice: [3, 3], Outcome: Attacker Wins
Battle 407: Attacker Dice: [3, 3], Defender Dice: [6, 1], Outcome: Draw
Battle 408: Attacker Dice: [5, 4], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 409: Attacker Dice: [3, 2], Defender Dice: [4, 2], Outcome: Defender Wins
Battle 410: Attacker Dice: [5, 3], Defender Dice: [5, 1], Outcome: Draw
Battle 411: Attacker Dice: [6, 6], Defender Dice: [5, 3], Outcome: Attacker Wins
Battle 412: Attacker Dice: [6, 5], Defender Dice: [4, 4], Outcome: Attacker Wins
Battle 413: Attacker Dice: [4, 4], Defender Dice: [6, 1], Outcome: Draw
Battle 414: Attacker Dice: [3, 2], Defender Dice: [4, 1], Outcome: Draw
Battle 415: Attacker Dice: [4, 3], Defender Dice: [4, 2], Outcome: Draw
Battle 416: Attacker Dice: [6, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 417: Attacker Dice: [6, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 418: Attacker Dice: [6, 6], Defender Dice: [6, 3], Outcome: Draw
Battle 419: Attacker Dice: [5, 3], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 420: Attacker Dice: [3, 2], Defender Dice: [4, 1], Outcome: Draw
Battle 421: Attacker Dice: [6, 3], Defender Dice: [6, 2], Outcome: Draw
Battle 422: Attacker Dice: [6, 2], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 423: Attacker Dice: [6, 5], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 424: Attacker Dice: [4, 1], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 425: Attacker Dice: [4, 4], Defender Dice: [3, 3], Outcome: Attacker Wins
Battle 426: Attacker Dice: [5, 5], Defender Dice: [6, 4], Outcome: Draw
Battle 427: Attacker Dice: [6, 4], Defender Dice: [6, 2], Outcome: Draw
Battle 428: Attacker Dice: [6, 5], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 429: Attacker Dice: [2, 1], Defender Dice: [3, 2], Outcome: Defender Wins
Battle 430: Attacker Dice: [5, 5], Defender Dice: [6, 3], Outcome: Draw
Battle 431: Attacker Dice: [3, 3], Defender Dice: [6, 1], Outcome: Draw
Battle 432: Attacker Dice: [6, 6], Defender Dice: [6, 3], Outcome: Draw
Battle 433: Attacker Dice: [5, 4], Defender Dice: [6, 2], Outcome: Draw
Battle 434: Attacker Dice: [2, 2], Defender Dice: [3, 3], Outcome: Defender Wins
Battle 435: Attacker Dice: [5, 4], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 436: Attacker Dice: [3, 2], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 437: Attacker Dice: [6, 2], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 438: Attacker Dice: [3, 1], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 439: Attacker Dice: [5, 4], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 440: Attacker Dice: [4, 3], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 441: Attacker Dice: [6, 5], Defender Dice: [6, 3], Outcome: Draw
Battle 442: Attacker Dice: [4, 2], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 443: Attacker Dice: [5, 4], Defender Dice: [4, 4], Outcome: Draw
Battle 444: Attacker Dice: [6, 5], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 445: Attacker Dice: [6, 4], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 446: Attacker Dice: [6, 5], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 447: Attacker Dice: [3, 3], Defender Dice: [6, 1], Outcome: Draw
Battle 448: Attacker Dice: [4, 3], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 449: Attacker Dice: [6, 4], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 450: Attacker Dice: [5, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 451: Attacker Dice: [6, 2], Defender Dice: [5, 3], Outcome: Draw
Battle 452: Attacker Dice: [4, 4], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 453: Attacker Dice: [6, 3], Defender Dice: [6, 1], Outcome: Draw
Battle 454: Attacker Dice: [5, 5], Defender Dice: [5, 3], Outcome: Draw
Battle 455: Attacker Dice: [6, 5], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 456: Attacker Dice: [4, 4], Defender Dice: [5, 3], Outcome: Draw
Battle 457: Attacker Dice: [2, 1], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 458: Attacker Dice: [4, 2], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 459: Attacker Dice: [4, 4], Defender Dice: [5, 5], Outcome: Defender Wins
Battle 460: Attacker Dice: [6, 4], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 461: Attacker Dice: [4, 3], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 462: Attacker Dice: [5, 5], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 463: Attacker Dice: [5, 5], Defender Dice: [6, 4], Outcome: Draw
Battle 464: Attacker Dice: [5, 2], Defender Dice: [5, 2], Outcome: Defender Wins
Battle 465: Attacker Dice: [5, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 466: Attacker Dice: [4, 2], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 467: Attacker Dice: [6, 6], Defender Dice: [6, 4], Outcome: Draw
Battle 468: Attacker Dice: [6, 5], Defender Dice: [5, 5], Outcome: Draw
Battle 469: Attacker Dice: [4, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 470: Attacker Dice: [3, 3], Defender Dice: [4, 3], Outcome: Defender Wins
Battle 471: Attacker Dice: [6, 2], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 472: Attacker Dice: [5, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 473: Attacker Dice: [6, 6], Defender Dice: [5, 4], Outcome: Attacker Wins
Battle 474: Attacker Dice: [5, 5], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 475: Attacker Dice: [4, 3], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 476: Attacker Dice: [2, 1], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 477: Attacker Dice: [5, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 478: Attacker Dice: [4, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 479: Attacker Dice: [5, 2], Defender Dice: [5, 1], Outcome: Draw
Battle 480: Attacker Dice: [5, 3], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 481: Attacker Dice: [6, 4], Defender Dice: [6, 1], Outcome: Draw
Battle 482: Attacker Dice: [6, 6], Defender Dice: [6, 4], Outcome: Draw
Battle 483: Attacker Dice: [6, 5], Defender Dice: [3, 3], Outcome: Attacker Wins
Battle 484: Attacker Dice: [6, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 485: Attacker Dice: [4, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 486: Attacker Dice: [6, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 487: Attacker Dice: [4, 2], Defender Dice: [6, 1], Outcome: Draw
Battle 488: Attacker Dice: [6, 5], Defender Dice: [6, 3], Outcome: Draw
Battle 489: Attacker Dice: [5, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 490: Attacker Dice: [5, 2], Defender Dice: [5, 2], Outcome: Defender Wins
Battle 491: Attacker Dice: [5, 5], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 492: Attacker Dice: [6, 5], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 493: Attacker Dice: [6, 5], Defender Dice: [6, 4], Outcome: Draw
Battle 494: Attacker Dice: [6, 2], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 495: Attacker Dice: [4, 3], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 496: Attacker Dice: [4, 3], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 497: Attacker Dice: [5, 4], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 498: Attacker Dice: [6, 3], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 499: Attacker Dice: [6, 5], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 500: Attacker Dice: [2, 2], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 501: Attacker Dice: [4, 4], Defender Dice: [4, 1], Outcome: Draw
Battle 502: Attacker Dice: [6, 5], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 503: Attacker Dice: [6, 2], Defender Dice: [4, 3], Outcome: Draw
Battle 504: Attacker Dice: [6, 5], Defender Dice: [6, 1], Outcome: Draw
Battle 505: Attacker Dice: [6, 5], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 506: Attacker Dice: [5, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 507: Attacker Dice: [6, 4], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 508: Attacker Dice: [4, 3], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 509: Attacker Dice: [6, 2], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 510: Attacker Dice: [6, 1], Defender Dice: [3, 2], Outcome: Draw
Battle 511: Attacker Dice: [6, 4], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 512: Attacker Dice: [6, 4], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 513: Attacker Dice: [6, 4], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 514: Attacker Dice: [3, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 515: Attacker Dice: [5, 5], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 516: Attacker Dice: [4, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 517: Attacker Dice: [4, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 518: Attacker Dice: [4, 4], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 519: Attacker Dice: [3, 1], Defender Dice: [1, 1], Outcome: Draw
Battle 520: Attacker Dice: [5, 1], Defender Dice: [5, 2], Outcome: Defender Wins
Battle 521: Attacker Dice: [6, 6], Defender Dice: [6, 5], Outcome: Draw
Battle 522: Attacker Dice: [6, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 523: Attacker Dice: [2, 2], Defender Dice: [2, 1], Outcome: Draw
Battle 524: Attacker Dice: [4, 2], Defender Dice: [4, 2], Outcome: Defender Wins
Battle 525: Attacker Dice: [6, 3], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 526: Attacker Dice: [6, 2], Defender Dice: [4, 2], Outcome: Draw
Battle 527: Attacker Dice: [6, 2], Defender Dice: [3, 2], Outcome: Draw
Battle 528: Attacker Dice: [6, 4], Defender Dice: [3, 3], Outcome: Attacker Wins
Battle 529: Attacker Dice: [6, 5], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 530: Attacker Dice: [6, 6], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 531: Attacker Dice: [6, 3], Defender Dice: [6, 1], Outcome: Draw
Battle 532: Attacker Dice: [6, 5], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 533: Attacker Dice: [5, 2], Defender Dice: [5, 2], Outcome: Defender Wins
Battle 534: Attacker Dice: [5, 5], Defender Dice: [6, 4], Outcome: Draw
Battle 535: Attacker Dice: [5, 3], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 536: Attacker Dice: [4, 3], Defender Dice: [6, 2], Outcome: Draw
Battle 537: Attacker Dice: [6, 2], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 538: Attacker Dice: [6, 4], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 539: Attacker Dice: [4, 2], Defender Dice: [4, 1], Outcome: Draw
Battle 540: Attacker Dice: [4, 4], Defender Dice: [5, 1], Outcome: Draw
Battle 541: Attacker Dice: [6, 5], Defender Dice: [6, 2], Outcome: Draw
Battle 542: Attacker Dice: [5, 2], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 543: Attacker Dice: [4, 4], Defender Dice: [5, 3], Outcome: Draw
Battle 544: Attacker Dice: [6, 5], Defender Dice: [5, 3], Outcome: Attacker Wins
Battle 545: Attacker Dice: [6, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 546: Attacker Dice: [4, 2], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 547: Attacker Dice: [3, 3], Defender Dice: [3, 1], Outcome: Draw
Battle 548: Attacker Dice: [4, 3], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 549: Attacker Dice: [5, 3], Defender Dice: [5, 2], Outcome: Draw
Battle 550: Attacker Dice: [4, 3], Defender Dice: [3, 3], Outcome: Draw
Battle 551: Attacker Dice: [6, 3], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 552: Attacker Dice: [6, 3], Defender Dice: [6, 1], Outcome: Draw
Battle 553: Attacker Dice: [6, 5], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 554: Attacker Dice: [4, 3], Defender Dice: [4, 3], Outcome: Defender Wins
Battle 555: Attacker Dice: [4, 3], Defender Dice: [4, 1], Outcome: Draw
Battle 556: Attacker Dice: [3, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 557: Attacker Dice: [5, 2], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 558: Attacker Dice: [5, 3], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 559: Attacker Dice: [5, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 560: Attacker Dice: [5, 3], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 561: Attacker Dice: [6, 5], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 562: Attacker Dice: [6, 6], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 563: Attacker Dice: [5, 4], Defender Dice: [5, 5], Outcome: Defender Wins
Battle 564: Attacker Dice: [2, 2], Defender Dice: [4, 2], Outcome: Defender Wins
Battle 565: Attacker Dice: [5, 4], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 566: Attacker Dice: [5, 5], Defender Dice: [6, 2], Outcome: Draw
Battle 567: Attacker Dice: [5, 4], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 568: Attacker Dice: [4, 2], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 569: Attacker Dice: [4, 2], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 570: Attacker Dice: [2, 2], Defender Dice: [3, 3], Outcome: Defender Wins
Battle 571: Attacker Dice: [3, 2], Defender Dice: [3, 1], Outcome: Draw
Battle 572: Attacker Dice: [2, 2], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 573: Attacker Dice: [4, 3], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 574: Attacker Dice: [5, 5], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 575: Attacker Dice: [5, 3], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 576: Attacker Dice: [2, 2], Defender Dice: [4, 3], Outcome: Defender Wins
Battle 577: Attacker Dice: [5, 2], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 578: Attacker Dice: [5, 4], Defender Dice: [5, 1], Outcome: Draw
Battle 579: Attacker Dice: [6, 2], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 580: Attacker Dice: [6, 4], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 581: Attacker Dice: [6, 5], Defender Dice: [5, 4], Outcome: Attacker Wins
Battle 582: Attacker Dice: [6, 5], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 583: Attacker Dice: [6, 5], Defender Dice: [6, 4], Outcome: Draw
Battle 584: Attacker Dice: [4, 2], Defender Dice: [2, 2], Outcome: Draw
Battle 585: Attacker Dice: [5, 5], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 586: Attacker Dice: [4, 2], Defender Dice: [6, 1], Outcome: Draw
Battle 587: Attacker Dice: [4, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 588: Attacker Dice: [5, 3], Defender Dice: [5, 1], Outcome: Draw
Battle 589: Attacker Dice: [4, 3], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 590: Attacker Dice: [6, 6], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 591: Attacker Dice: [5, 2], Defender Dice: [5, 5], Outcome: Defender Wins
Battle 592: Attacker Dice: [5, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 593: Attacker Dice: [2, 1], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 594: Attacker Dice: [4, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 595: Attacker Dice: [4, 4], Defender Dice: [6, 2], Outcome: Draw
Battle 596: Attacker Dice: [5, 4], Defender Dice: [6, 1], Outcome: Draw
Battle 597: Attacker Dice: [4, 4], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 598: Attacker Dice: [5, 5], Defender Dice: [3, 3], Outcome: Attacker Wins
Battle 599: Attacker Dice: [6, 5], Defender Dice: [6, 1], Outcome: Draw
Battle 600: Attacker Dice: [6, 2], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 601: Attacker Dice: [6, 5], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 602: Attacker Dice: [5, 3], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 603: Attacker Dice: [3, 2], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 604: Attacker Dice: [2, 1], Defender Dice: [5, 2], Outcome: Defender Wins
Battle 605: Attacker Dice: [3, 2], Defender Dice: [5, 5], Outcome: Defender Wins
Battle 606: Attacker Dice: [6, 5], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 607: Attacker Dice: [4, 4], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 608: Attacker Dice: [6, 3], Defender Dice: [6, 1], Outcome: Draw
Battle 609: Attacker Dice: [6, 5], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 610: Attacker Dice: [5, 2], Defender Dice: [3, 2], Outcome: Draw
Battle 611: Attacker Dice: [5, 4], Defender Dice: [5, 3], Outcome: Draw
Battle 612: Attacker Dice: [4, 3], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 613: Attacker Dice: [6, 4], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 614: Attacker Dice: [4, 3], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 615: Attacker Dice: [4, 4], Defender Dice: [4, 2], Outcome: Draw
Battle 616: Attacker Dice: [6, 6], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 617: Attacker Dice: [5, 3], Defender Dice: [4, 3], Outcome: Draw
Battle 618: Attacker Dice: [6, 5], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 619: Attacker Dice: [5, 3], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 620: Attacker Dice: [5, 3], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 621: Attacker Dice: [6, 2], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 622: Attacker Dice: [4, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 623: Attacker Dice: [6, 3], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 624: Attacker Dice: [2, 2], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 625: Attacker Dice: [4, 4], Defender Dice: [2, 1], Outcome: Attacker Wins
